Link, index
https://in.investing.com/equities/axis-bank, AXIS Bank
https://in.investing.com/equities/adani-enterprises, Adani Enterprises
https://in.investing.com/equities/mundra-port-special-eco.-zone, Adani Ports & SEZ
https://in.investing.com/equities/apollo-hospitals, Apollo Hospitals
https://in.investing.com/equities/asian-paints, Asian Paints
https://in.investing.com/equities/bajaj-auto, Bajaj Auto
https://in.investing.com/equities/bajaj-finance, Bajaj Finance
https://in.investing.com/equities/bajaj-finserv-limited, Bajaj Finserv
https://in.investing.com/equities/bharat-petroleum, Bharat Petroleum
https://in.investing.com/equities/bharti-airtel, Bharti Airtel
https://in.investing.com/equities/britannia-industries, Britannia Industries
https://in.investing.com/equities/cipla, Cipla
https://in.investing.com/equities/coal-india, Coal India
https://in.investing.com/equities/divis-laboratories, Divi's Labs
https://in.investing.com/equities/dr-reddys-laboratories, Dr. Reddyâ€™s Labs
https://in.investing.com/equities/eicher-motors, Eicher Motors
https://in.investing.com/equities/grasim-industries, Grasim Industries
https://in.investing.com/equities/hcl-technologies, HCL Tech
https://in.investing.com/equities/hdfc-bank-ltd, HDFC Bank
https://in.investing.com/equities/hdfc-standard-life, HDFC Life
https://in.investing.com/equities/hero-motocorp, Hero MotoCorp
https://in.investing.com/equities/hindalco-industries, Hindalco Industries
https://in.investing.com/equities/hindustan-unilever, Hindustan Unilever
https://in.investing.com/equities/housing-development-finance, Housing Development Finance
https://in.investing.com/equities/icici-bank-ltd, ICICI Bank
https://in.investing.com/equities/itc, ITC
https://in.investing.com/equities/indusind-bank, IndusInd Bank
https://in.investing.com/equities/infosys, Infosys
https://in.investing.com/equities/jsw-steel, JSW Steel
https://in.investing.com/equities/kotak-mahindra-bank, Kotak Mahindra Bank
https://in.investing.com/equities/larsen---toubro, Larsen & Toubro
https://in.investing.com/equities/mahindra---mahindra, Mahindra & Mahindra
https://in.investing.com/equities/maruti-suzuki-india, Maruti Suzuki
https://in.investing.com/equities/ntpc, NTPC
https://in.investing.com/equities/nestle, Nestle India
https://in.investing.com/equities/oil---natural-gas-corporation, Oil & Natural Gas
https://in.investing.com/equities/power-grid-corp.-of-india, Power Grid
https://in.investing.com/equities/reliance-industries, Reliance Industries
https://in.investing.com/equities/state-bank-of-india, SBI
https://in.investing.com/equities/sbi-life-insurance, SBI Life Insurance
https://in.investing.com/equities/sun-pharma-advanced-research, Sun Pharma
https://in.investing.com/equities/tata-consultancy-services, Tata Consultancy
https://in.investing.com/equities/tata-global-beverages, Tata Consumer Products
https://in.investing.com/equities/tata-motors-ltd, Tata Motors
https://in.investing.com/equities/tata-steel, Tata Steel Ltd
https://in.investing.com/equities/tech-mahindra, Tech Mahindra
https://in.investing.com/equities/titan-industries, Titan Company
https://in.investing.com/equities/united-phosphorus, UPL
https://in.investing.com/equities/ultratech-cement, UltraTech Cement
https://in.investing.com/equities/wipro-ltd, Wipro
https://in.investing.com/indices/s-p-cnx-nifty, Nifty 50
https://in.investing.com/indices/sensex, BSE Sensex
https://in.investing.com/indices/bank-nifty, Nifty Bank
https://in.investing.com/indices/nq-100, Nasdaq 100
https://in.investing.com/indices/us-spx-500, S&P 500
https://in.investing.com/indices/s-p-cnx-nifty, Nifty 50
https://in.investing.com/indices/sensex, BSE Sensex
https://in.investing.com/indices/bank-nifty, Nifty Bank
https://in.investing.com/indices/nq-100, Nasdaq 100
https://in.investing.com/indices/us-spx-500, S&P 500
https://in.investing.com/indices/us-30, Dow Jones
https://in.investing.com/indices/nasdaq-composite, Nasdaq
https://in.investing.com/indices/hang-sen-40, Hang Seng
https://in.investing.com/equities/hdfc-bank-ltd, HDBK
https://in.investing.com/equities/adani-enterprises, ADEL
https://in.investing.com/equities/icici-bank-ltd, ICBK
https://in.investing.com/equities/reliance-industries, RELI
https://in.investing.com/equities/housing-development-finance, HDFC
https://in.investing.com/equities/axis-bank, AXBK
AU Small Finance Bank Ltd Share Price Today | NS AUFI Stock - Investing.com India, AUFI
https://in.investing.com/equities/kotak-mahindra-bank, KTKM
https://in.investing.com/equities/idfc-bank-ltd, IDFB
https://in.investing.com/equities/punjab-national-bank, PNBK
https://in.investing.com/equities/bharat-heavy-electricals, BHEL
https://in.investing.com/equities/idbi-bank, IDBI
https://in.investing.com/equities/zee-entertainment-enterprises, ZEE
https://in.investing.com/equities/indian-oil-corporation, IOC
https://in.investing.com/equities/hindustan-oil-exploration, HOEX
